submission_pk,User,Prediction score,Duration
12839,MOTO,0.9589 (1),0.00 (1),
12976,Caravan,0.9570 (2),0.00 (1),
12959,Truck,0.9497 (3),0.00 (1),
12968,scooter,0.9477 (4),0.00 (1),
12937,AUTOCAR,0.9476 (5),0.00 (1),
12906,Velo-Xporters,0.9471 (6),0.00 (1),
12632,AUTOBUS,0.9467 (7),0.00 (1),
12464,Segway,0.9467 (7),0.00 (1),
12437,Taxi,0.9467 (7),0.00 (1),
12358,pavao,0.9467 (7),0.00 (1),
12835,automobile,0.1661 (8),0.00 (1),
11318,medichal,-2.6512 (9),0.00 (1),
11284,xporters,-2.6512 (9),0.00 (1),
